,name,price,original_price,location,seller_name,brand,num_colors,rating_score,link_item,vouchers,categories
327,"Acer Predator Helios Neo PHN16-71-76YG, Core i7-13700Hx, 16GB Ram, 512GB SSD, RTX 4050 6GB, 16inch RGB Led 2.5k 165Hz, comes with a premium gift set",33400000,35400000,Vietnam,Laptop.Hadong,ACER,0,,https://www.lazada.vn/products/acer-predator-helios-neo-phn16-71-76yg-core-i7-13700hx-ram-16gb-ssd-512gb-rtx-4050-6gb-16inch-25k-165hz-led-rgb-tang-kem-bo-qua-tang-cao-cap-i2634693121.html,['Voucher save 6%'],"[4401, 4414, 6191]"
328,Máy tính laptop DELL ram 4gb ổ cứng 500gb hàng thanh lý,2900000,2900000,Vietnam,Máy Tính Laptop Phụ Kiện,No Brand,0,,https://www.lazada.vn/products/may-tinh-laptop-dell-ram-4gb-o-cung-500gb-hang-thanh-ly-i2634627682.html,[],"[4401, 4414, 6191]"
329,Laptop gaming chơi game phong thần core i5 ram 4Gb Win 10 Bảo hành 1 năm (Giao ngẫu nhiên),4990000,4990000,Vietnam,Máy Tính Laptop Phụ Kiện,No Brand,0,,https://www.lazada.vn/products/laptop-gaming-choi-game-phong-than-core-i5-ram-4gb-win-10-bao-hanh-1-nam-giao-ngau-nhien-i2634471783.html,[],"[4401, 4414, 6191]"
330,Laptop emachines D732Z win8 ram 4g ổ 500gb màn 14 inch bảo hành 1 năm (đã kiểm tra ok),7990000,7990000,Vietnam,Máy Tính Laptop Phụ Kiện,No Brand,0,,https://www.lazada.vn/products/laptop-emachines-d732z-win8-ram-4g-o-500gb-man-14-inch-bao-hanh-1-nam-da-kiem-tra-ok-i2634431360.html,[],"[4401, 4414, 6191]"
331,LAPTOP GAMING,20700000,20700000,Vietnam,Hoàng Phát Gear,Intel,0,,https://www.lazada.vn/products/laptop-gaming-i2634424301.html,[],"[4401, 4414, 6191]"
332,Laptop chơi game đột kích core i5 ram 6Gb Windows 10 tặng kèm chuột không dây bảo hành 1 năm (giao hãng ngẫu nhiên),5990000,5990000,Vietnam,Máy Tính Laptop Phụ Kiện,No Brand,0,,https://www.lazada.vn/products/laptop-choi-game-dot-kich-core-i5-ram-6gb-windows-10-tang-kem-chuot-khong-day-bao-hanh-1-nam-giao-hang-ngau-nhien-i2634409502.html,[],"[4401, 4414, 6191]"
333,Máy tính laptop online chứng khoán mua bán đầy đủ phụ kiện hàng chất lượng bảo hành 1 năm,4999000,4999000,Vietnam,Máy Tính Laptop Phụ Kiện,No Brand,0,,https://www.lazada.vn/products/may-tinh-laptop-online-chung-khoan-mua-ban-day-du-phu-kien-hang-chat-luong-bao-hanh-1-nam-i2634379671.html,[],"[4401, 4414, 6191]"
334,Laptop To siba Satellite ram 3gb Windows 7 màn hình 14 inch bảo hành 12 tháng đã sử dụng (giao ngẫu nhiên),2999000,2999000,Vietnam,Máy Tính Laptop Phụ Kiện,No Brand,0,,https://www.lazada.vn/products/laptop-to-siba-satellite-ram-3gb-windows-7-man-hinh-14-inch-bao-hanh-12-thang-da-su-dung-giao-ngau-nhien-i2634300893.html,[],"[4401, 4414, 6191]"
335,"Laptop nhạc sóng, karaoke online - Máy tính HP core i5 HDD 500Gb màn hình chuẩn 14 inch rõ nét",4990000,4990000,Vietnam,Máy Tính Laptop Phụ Kiện,No Brand,0,,https://www.lazada.vn/products/laptop-nhac-song-karaoke-online-may-tinh-hp-core-i5-hdd-500gb-man-hinh-chuan-14-inch-ro-net-i2634294871.html,[],"[4401, 4414, 6191]"
336,Laptop Gaming Giá Rẻ,6999990,6999990,Vietnam,Máy Tính Laptop Phụ Kiện,No Brand,0,,https://www.lazada.vn/products/laptop-gaming-gia-re-i2634281839.html,[],"[4401, 4414, 6191]"
337,SZIPX Laptop Notebook 40GB 60GB 80GB 120GB 160GB 40G 60G 80G 120G 160G 2.5 HDD 5400rpm 8M PAPA IDE Internal Hard Drives disk XOIQP,416511,468000,China,yqvqbj168,No Brand,6,,https://www.lazada.vn/products/szipx-may-tinh-xach-tay-may-tinh-xach-tay-40gb-60gb-80gb-120gb-160gb-40g-60g-80g-120g-160g-25-hdd-5400rpm-8m-papa-ide-noi-bo-o-cung-dia-xoiqp-i2634177072.html,['Voucher save 11%'],"[4401, 4414, 6191]"
338,"Laptop Pro 2017, màn hình 13.3 inch, core i5, ram 8gb, ssd 128gb, MacOS Sonoma 14.5 mới nhất , ngoại hình siêu đẹp 95-97%, bị lỗi nhỏ không ảnh hưởng hoạt động",6100000,7200000,Vietnam,AT-COMPUTER ,No Brand,0,,https://www.lazada.vn/products/laptop-pro-2017-man-hinh-133-inch-core-i5-ram-8gb-ssd-128gb-macos-sonoma-145-moi-nhat-ngoai-hinh-sieu-dep-95-97-bi-loi-nho-khong-anh-huong-hoat-dong-i2633932018.html,['Voucher save 15%'],"[4401, 4414, 6191]"
339,"Laptop Air 2015 siêu đẹp siêu nhẹ, làm việc, học tập, du lịch Hđh Win10 và MacOS Sonoma 14.5 mới nhất, 11.6 inch, core i5, Ram 4gb, ssd 128, like new 97-98%",6400000,6400000,Vietnam,AT-COMPUTER ,No Brand,0,,https://www.lazada.vn/products/laptop-air-2015-sieu-dep-sieu-nhe-lam-viec-hoc-tap-du-lich-hdh-win10-va-macos-sonoma-145-moi-nhat-116-inch-core-i5-ram-4gb-ssd-128-like-new-97-98-i2633848373.html,[],"[4401, 4414, 6191]"
